1.454785913228988647e-01,8.051689267158508301e-01
1.447432637214660645e-01,8.036264777183532715e-01
1.476199030876159668e-01,8.052875399589538574e-01
1.450821906328201294e-01,8.057004213333129883e-01
1.468129307031631470e-01,8.062306642532348633e-01
1.471809148788452148e-01,8.048341870307922363e-01
1.443300098180770874e-01,8.048223257064819336e-01
1.452656537294387817e-01,8.064321875572204590e-01
1.491175740957260132e-01,8.099433183670043945e-01
1.445203721523284912e-01,7.996504902839660645e-01
