8.119793236255645752e-02,9.849501848220825195e-01
7.024032622575759888e-02,9.848837256431579590e-01
7.137052714824676514e-02,9.857807159423828125e-01
6.003732234239578247e-02,9.870432019233703613e-01
6.555019319057464600e-02,9.850165843963623047e-01
6.820460408926010132e-02,9.857807159423828125e-01
6.056182086467742920e-02,9.877740740776062012e-01
6.019809097051620483e-02,9.877408742904663086e-01
5.888698622584342957e-02,9.880398511886596680e-01
5.232181027531623840e-02,9.887375235557556152e-01
